tweet_id,created_at,tweets,likes,date,time,Hashtags,#snydercut,#zacksnydersjusticeleague,#borglife
1377795078538866692,2021-04-02 01:28:39,"RT @ninaturner: Millions of Americans are struggling under the weight of student debt.

Black college grads on avg hold more than $50k. We…",0,2021-04-02,01:28:39,,0,0,0
1376896607917051906,2021-03-30 13:58:27,"RT @CoriBush: They’re starting to count the union ballots in Alabama this week and no matter how the vote goes, 5,800 predominantly Black l…",0,2021-03-30,13:58:27,,0,0,0
1376583218674106371,2021-03-29 17:13:09,"Toby Emmerich, Geoff Johns, and Jon Berg’s racist and discriminatory conversations were major factors in the disparities.

I may not like Joss Whedon, but I refuse to let him take sole responsibility.

A&gt;E

https://t.co/xmZc4t7nL4",10699,2021-03-29,17:13:09,,0,0,0
1376569420877815815,2021-03-29 16:18:20,"RT @CoriBush: Derek Chauvin is on trial.
America is on trial.
Our criminal-legal system is on trial.

George Floyd is not on trial.",0,2021-03-29,16:18:20,,0,0,0
1375943286846787585,2021-03-27 22:50:18,"RT @BernieSanders: What Amazon workers in Alabama are doing takes real courage. They are standing up, not only for themselves and their fam…",0,2021-03-27,22:50:18,,0,0,0
1375640076579913728,2021-03-27 02:45:27,"RT @DerenicByrd: THE CIVIL RIGHTS MOVEMENT 

How it started:           How it's going: https://t.co/LMujcmf3tu",0,2021-03-27,02:45:27,,0,0,0
1375533149590028288,2021-03-26 19:40:33,"RT @BernieSanders: TODAY AT 4 PM ET/3 PM CT: Join me, @KillerMike, and workers standing up for the right to join a union at Amazon — a mult…",0,2021-03-26,19:40:33,,0,0,0
1375480692604289030,2021-03-26 16:12:06,"RT @ninaturner: Amazon workers have the right to a union. 

RT if you agree ✊🏾✊🏻✊🏿✊🏽✊",0,2021-03-26,16:12:06,,0,0,0
1375474470538862595,2021-03-26 15:47:23,RT @MayaTPrabhu: Georgia includes a provision requiring that legislators “shall be free from arrest during sessions of the General Assembly…,0,2021-03-26,15:47:23,,0,0,0
1375244320660406274,2021-03-26 00:32:51,"Today is my Grandmother’s birthday

It is also the 5 year anniversary of Batman v Superman: Dawn of Justice

Also #RestoreTheSnyderVerse",25957,2021-03-26,00:32:51,#restorethesnyderverse,0,0,0
1375226950306951183,2021-03-25 23:23:50,#RestoreTheSnyderVerse,44017,2021-03-25,23:23:50,#restorethesnyderverse,0,0,0
1375088839769919492,2021-03-25 14:15:01,"Had a good time clowning around with @MulDiversity last night🦾

Thanks for having me on!

#SnyderCut https://t.co/yoicZMdg3C",3751,2021-03-25,14:15:01,#snydercut,1,0,0
1375075190959435781,2021-03-25 13:20:47,"Gray. All. Day.

#JusticeIsGray #Snydercut https://t.co/y9iYNHwFPX https://t.co/jos2sC3KqT",12486,2021-03-25,13:20:47,#justiceisgray #snydercut,1,0,0
1374962183239532544,2021-03-25 05:51:44,"24 hours of #JusticeIsGray

Let’s get it!🦾

#SnyderCut",14166,2021-03-25,05:51:44,#justiceisgray #snydercut,1,0,0
1374959557072543744,2021-03-25 05:41:18,"RT @KirstenAcuna: ""don't delete""
""Put it on repeat""

#JusticeIsGray tonight https://t.co/nwInn4KbUr",0,2021-03-25,05:41:18,#justiceisgray,0,0,0
1374912687906390020,2021-03-25 02:35:04,"🙌🏽 @Junkie_XL 🙌🏽

#Snydercut https://t.co/QVw6AwdicS https://t.co/nVfwmBrJvT",7401,2021-03-25,02:35:04,#snydercut,1,0,0
1374839911887540227,2021-03-24 21:45:52,#ZackSnydersJusticeLeague https://t.co/IGTeWFXbOt,10808,2021-03-24,21:45:52,#zacksnydersjusticeleague,0,1,0
1374833842087952387,2021-03-24 21:21:45,RT @LtGovOliver: Do you need help paying your rent due to the pandemic? New Jersey residents can now apply for the #COVID19 Emergency Renta…,0,2021-03-24,21:21:45,#covid19,0,0,0
1374773831005569027,2021-03-24 17:23:18,"Shout out to @ComicBookDebate and the @TheFarooqiBros for having me on!🙏🏽

#BORGLIFE https://t.co/pMli65YDhX",3956,2021-03-24,17:23:18,#borglife,0,0,1
1374738311227576323,2021-03-24 15:02:09,RT @BernieSanders: I do not think in the year 2021 that we should continue to accept a reality which sees women paid just $0.82 for every $…,0,2021-03-24,15:02:09,,0,0,0
1374576771295801346,2021-03-24 04:20:15,RT @ninaturner: #MedicareForAll,0,2021-03-24,04:20:15,#medicareforall,0,0,0
1374562189139402752,2021-03-24 03:22:18,@ArkingKyle @ZackSnyder Absolutely.,1129,2021-03-24,03:22:18,,0,0,0
1374497821122916359,2021-03-23 23:06:32,"A potential outcome of the current course.

#Snydercut https://t.co/3fNc5tfKat",7265,2021-03-23,23:06:32,#snydercut,1,0,0
1374496583014776841,2021-03-23 23:01:36,"You already know😎

#BORGLIFE https://t.co/IPQwBVlE02",2803,2021-03-23,23:01:36,#borglife,0,0,1
1374462709312319488,2021-03-23 20:47:00,"RT @CoriBush: 26 lives taken in Newtown should have led to change. 

9 lives taken in Charleston should have led to change. 

17 lives take…",0,2021-03-23,20:47:00,,0,0,0
1374432093690679302,2021-03-23 18:45:21,"RT @NadriaTucker: The point is that I, a Black woman, did the work and WB is refusing to pay me for it. When I took the job on Krypton my m…",0,2021-03-23,18:45:21,,0,0,0
1374378281802207238,2021-03-23 15:11:31,"Please take a look and sign if you can🙏🏽

https://t.co/jK2Zsm6PuK",1651,2021-03-23,15:11:31,,0,0,0
1374352536556212224,2021-03-23 13:29:13,"I bet they did...

A&gt;E https://t.co/qk2EyKQWUE",12194,2021-03-23,13:29:13,,0,0,0
